feature,type,coefficient,odds_multiplier,count
"Ivora, Insatiable Heir (repeat)",repeat,0.0,1.0,0
Inquisition of Kozilek (repeat),repeat,0.0,1.0,0
Mox Diamond (repeat),repeat,0.0,1.0,0
Caustic Bronco (repeat),repeat,0.0,1.0,0
Wheel of Fortune (repeat),repeat,0.0,1.0,0
"Takenuma, Abandoned Mire (repeat)",repeat,0.0,1.0,0
Fatal Push (repeat),repeat,0.0,1.0,0
Verdant Catacombs (repeat),repeat,0.0,1.0,0
Preordain (repeat),repeat,0.0,1.0,0
Hallowed Fountain (repeat),repeat,0.0,1.0,0
Timetwister (repeat),repeat,0.0,1.0,0
"Torsten, Founder of Benalia (repeat)",repeat,0.0,1.0,0
Underworld Breach (repeat),repeat,0.0,1.0,0
Malevolent Rumble (repeat),repeat,0.0,1.0,0
Polluted Delta (repeat),repeat,0.0,1.0,0
Force of Will (repeat),repeat,0.0,1.0,0
Urza's Saga (repeat),repeat,0.0,1.0,0
Pest Infestation (repeat),repeat,0.0,1.0,0
Skyclave Apparition (repeat),repeat,0.0,1.0,0
Windswept Heath (repeat),repeat,0.0,1.0,0
Flash (repeat),repeat,0.0,1.0,0
Draconautics Engineer (repeat),repeat,0.0,1.0,0
Pyrokinesis (repeat),repeat,0.0,1.0,0
Elite Spellbinder (repeat),repeat,0.0,1.0,0
Broadside Bombardiers (repeat),repeat,0.0,1.0,0
Showdown of the Skalds (repeat),repeat,0.0,1.0,0
Snapcaster Mage (repeat),repeat,0.0,1.0,0
Counterspell (repeat),repeat,0.0,1.0,0
Dragon's Rage Channeler (repeat),repeat,0.0,1.0,0
Fable of the Mirror-Breaker (repeat),repeat,0.0,1.0,0
Galvanic Blast (repeat),repeat,0.0,1.0,0
Intrepid Adversary (repeat),repeat,0.0,1.0,0
Mana Tithe (repeat),repeat,0.0,1.0,0
Smuggler's Copter (repeat),repeat,0.0,1.0,0
Bloodstained Mire (repeat),repeat,0.0,1.0,0
Bonecrusher Giant (repeat),repeat,0.0,1.0,0
Tundra (repeat),repeat,0.0,1.0,0
Bayou (repeat),repeat,0.0,1.0,0
Goblin Bombardment (repeat),repeat,0.0,1.0,0
Stock Up (repeat),repeat,0.0,1.0,0
Brazen Borrower (repeat),repeat,0.0,1.0,0
Thraben Inspector (repeat),repeat,0.0,1.0,0
Noble Hierarch (repeat),repeat,0.0,1.0,0
Flame Slash (repeat),repeat,0.0,1.0,0
Gloomlake Verge (repeat),repeat,0.0,1.0,0
Mystic Confluence (repeat),repeat,0.0,1.0,0
Birds of Paradise (repeat),repeat,0.0,1.0,0
Currency Converter (repeat),repeat,0.0,1.0,0
Fabled Passage (repeat),repeat,0.0,1.0,0
Deep-Cavern Bat (repeat),repeat,0.0,1.0,0
Glorybringer (repeat),repeat,0.0,1.0,0
Sleight of Hand (repeat),repeat,0.0,1.0,0
The Mightstone and Weakstone (repeat),repeat,0.0,1.0,0
Nova Hellkite (repeat),repeat,0.0,1.0,0
Enduring Innocence (repeat),repeat,0.0,1.0,0
Get Lost (repeat),repeat,0.0,1.0,0
"Karn, Scion of Urza (repeat)",repeat,0.0,1.0,0
Faerie Mastermind (repeat),repeat,0.0,1.0,0
Umezawa's Jitte (repeat),repeat,0.0,1.0,0
Skullclamp (repeat),repeat,0.0,1.0,0
Generous Plunderer (repeat),repeat,0.0,1.0,0
"Teferi, Hero of Dominaria (repeat)",repeat,0.0,1.0,0
Fear of Missing Out (repeat),repeat,0.0,1.0,0
"Kytheon, Hero of Akros (repeat)",repeat,0.0,1.0,0
Screaming Nemesis (repeat),repeat,0.0,1.0,0
Necromancy (repeat),repeat,0.0,1.0,0
Steam Vents (repeat),repeat,0.0,1.0,0
Mana Vault (repeat),repeat,0.0,1.0,0
Mystical Tutor (repeat),repeat,0.0,1.0,0
Fire Covenant (repeat),repeat,0.0,1.0,0
Pentad Prism (repeat),repeat,0.0,1.0,0
Grim Monolith (repeat),repeat,0.0,1.0,0
Dack Fayden (repeat),repeat,0.0,1.0,0
Sunbaked Canyon (repeat),repeat,0.0,1.0,0
Sneak Attack (repeat),repeat,0.0,1.0,0
Death-Greeter's Champion (repeat),repeat,0.0,1.0,0
Cryptic Command (repeat),repeat,0.0,1.0,0
Staff of the Storyteller (repeat),repeat,0.0,1.0,0
Displacer Kitten (repeat),repeat,0.0,1.0,0
"Malcolm, Alluring Scoundrel (repeat)",repeat,0.0,1.0,0
Celestial Colonnade (repeat),repeat,0.0,1.0,0
Demonic Tutor (repeat),repeat,0.0,1.0,0
Tinker (repeat),repeat,0.0,1.0,0
Godless Shrine (repeat),repeat,0.0,1.0,0
Underground Sea (repeat),repeat,0.0,1.0,0
Raucous Theater (repeat),repeat,0.0,1.0,0
Flooded Strand (repeat),repeat,0.0,1.0,0
Parallax Wave (repeat),repeat,0.0,1.0,0
Figure of Destiny (repeat),repeat,0.0,1.0,0
"Makdee and Itla, Skysnarers (repeat)",repeat,0.0,1.0,0
Prismatic Ending (repeat),repeat,0.0,1.0,0
Upheaval (repeat),repeat,0.0,1.0,0
Lotus Petal (repeat),repeat,0.0,1.0,0
Descendant of Storms (repeat),repeat,0.0,1.0,0
Three Steps Ahead (repeat),repeat,0.0,1.0,0
Giver of Runes (repeat),repeat,0.0,1.0,0
Chrome Mox (repeat),repeat,0.0,1.0,0
Thundertrap Trainer (repeat),repeat,0.0,1.0,0
"Sheoldred, the Apocalypse (repeat)",repeat,0.0,1.0,0
Darkslick Shores (repeat),repeat,0.0,1.0,0
Volcanic Island (repeat),repeat,0.0,1.0,0
Path to Exile (repeat),repeat,0.0,1.0,0
Blackcleave Cliffs (repeat),repeat,0.0,1.0,0
Soul-Guide Lantern (repeat),repeat,0.0,1.0,0
Echo of Eons (repeat),repeat,0.0,1.0,0
Raugrin Triome (repeat),repeat,0.0,1.0,0
Fiery Islet (repeat),repeat,0.0,1.0,0
"Thalia, Guardian of Thraben (repeat)",repeat,0.0,1.0,0
Kolaghan's Command (repeat),repeat,0.0,1.0,0
Wooded Foothills (repeat),repeat,0.0,1.0,0
Gitaxian Probe (repeat),repeat,0.0,1.0,0
Brainstorm (repeat),repeat,0.0,1.0,0
Balance (repeat),repeat,0.0,1.0,0
Tropical Island (repeat),repeat,0.0,1.0,0
Seachrome Coast (repeat),repeat,0.0,1.0,0
"Chandra, Torch of Defiance (repeat)",repeat,0.0,1.0,0
"Elspeth, Storm Slayer (repeat)",repeat,0.0,1.0,0
Meticulous Archive (repeat),repeat,0.0,1.0,0
Sunbillow Verge (repeat),repeat,0.0,1.0,0
Reanimate (repeat),repeat,0.0,1.0,0
Mox Ruby (repeat),repeat,0.0,1.0,0
Sacred Foundry (repeat),repeat,0.0,1.0,0
Thundering Falls (repeat),repeat,0.0,1.0,0
Seasoned Pyromancer (repeat),repeat,0.0,1.0,0
Tishana's Tidebinder (repeat),repeat,0.0,1.0,0
Life // Death (repeat),repeat,0.0,1.0,0
Chrome Host Seedshark (repeat),repeat,0.0,1.0,0
Mox Jet (repeat),repeat,0.0,1.0,0
Oust (repeat),repeat,0.0,1.0,0
Serra Paragon (repeat),repeat,0.0,1.0,0
Mind Twist (repeat),repeat,0.0,1.0,0
Booster Tutor (repeat),repeat,0.0,1.0,0
"Tamiyo, Inquisitive Student (repeat)",repeat,0.0,1.0,0
Marsh Flats (repeat),repeat,0.0,1.0,0
Arena of Glory (repeat),repeat,0.0,1.0,0
Quantum Riddler (repeat),repeat,0.0,1.0,0
"Otawara, Soaring City (repeat)",repeat,0.0,1.0,0
Reprieve (repeat),repeat,0.0,1.0,0
Preacher of the Schism (repeat),repeat,0.0,1.0,0
"Narset, Parter of Veils (repeat)",repeat,0.0,1.0,0
"Inti, Seneschal of the Sun (repeat)",repeat,0.0,1.0,0
Unexpectedly Absent (repeat),repeat,0.0,1.0,0
Tolarian Academy (repeat),repeat,0.0,1.0,0
Hired Claw (repeat),repeat,0.0,1.0,0
Spara's Headquarters (repeat),repeat,0.0,1.0,0
"Tezzeret, Cruel Captain (repeat)",repeat,0.0,1.0,0
Time Spiral (repeat),repeat,0.0,1.0,0
Dauthi Voidwalker (repeat),repeat,0.0,1.0,0
"Oko, Thief of Crowns (repeat)",repeat,0.0,1.0,0
Sheoldred's Edict (repeat),repeat,0.0,1.0,0
Kappa Cannoneer (repeat),repeat,0.0,1.0,0
Third Path Iconoclast (repeat),repeat,0.0,1.0,0
Fallen Shinobi (repeat),repeat,0.0,1.0,0
Cathar Commando (repeat),repeat,0.0,1.0,0
Floodfarm Verge (repeat),repeat,0.0,1.0,0
Thoughtseize (repeat),repeat,0.0,1.0,0
Xander's Lounge (repeat),repeat,0.0,1.0,0
Talisman of Progress (repeat),repeat,0.0,1.0,0
No More Lies (repeat),repeat,0.0,1.0,0
Blood Crypt (repeat),repeat,0.0,1.0,0
"Saheeli, Sublime Artificer (repeat)",repeat,0.0,1.0,0
Mother of Runes (repeat),repeat,0.0,1.0,0
Overlord of the Mistmoors (repeat),repeat,0.0,1.0,0
Talisman of Creativity (repeat),repeat,0.0,1.0,0
Prismatic Vista (repeat),repeat,0.0,1.0,0
"Phelia, Exuberant Shepherd (repeat)",repeat,0.0,1.0,0
"Nia, Skysail Storyteller (repeat)",repeat,0.0,1.0,0
Lion's Eye Diamond (repeat),repeat,0.0,1.0,0
Mox Sapphire (repeat),repeat,0.0,1.0,0
Vampiric Tutor (repeat),repeat,0.0,1.0,0
Cosmogrand Zenith (repeat),repeat,0.0,1.0,0
Glimmer Lens (repeat),repeat,0.0,1.0,0
The Wandering Emperor (repeat),repeat,0.0,1.0,0
Raffine's Tower (repeat),repeat,0.0,1.0,0
Luminarch Aspirant (repeat),repeat,0.0,1.0,0
Karakas (repeat),repeat,0.0,1.0,0
Lightstall Inquisitor (repeat),repeat,0.0,1.0,0
Entomb (repeat),repeat,0.0,1.0,0
Fiery Confluence (repeat),repeat,0.0,1.0,0
Tersa Lightshatter (repeat),repeat,0.0,1.0,0
Dig Through Time (repeat),repeat,0.0,1.0,0
Scalding Tarn (repeat),repeat,0.0,1.0,0
"Tamiyo, Collector of Tales (repeat)",repeat,0.0,1.0,0
Hymn to Tourach (repeat),repeat,0.0,1.0,0
Miscalculation (repeat),repeat,0.0,1.0,0
Mana Leak (repeat),repeat,0.0,1.0,0
"Phlage, Titan of Fire's Fury (repeat)",repeat,0.0,1.0,0
Strip Mine (repeat),repeat,0.0,1.0,0
Sink into Stupor (repeat),repeat,0.0,1.0,0
"Kellan, Planar Trailblazer (repeat)",repeat,0.0,1.0,0
Thirst for Discovery (repeat),repeat,0.0,1.0,0
Elegant Parlor (repeat),repeat,0.0,1.0,0
Ponder (repeat),repeat,0.0,1.0,0
Collective Brutality (repeat),repeat,0.0,1.0,0
Animate Dead (repeat),repeat,0.0,1.0,0
Burst Lightning (repeat),repeat,0.0,1.0,0
