feature,type,coefficient,odds_multiplier,count
Protective Response (repeat),repeat,0.0,1.0,0
Liminal Hold (repeat),repeat,0.0,1.0,0
Shimmercreep (repeat),repeat,0.0,1.0,0
Elder Auntie (repeat),repeat,0.0,1.0,0
Chomping Changeling (repeat),repeat,0.0,1.0,0
Midnight Tilling (repeat),repeat,0.0,1.0,0
Enraged Flamecaster (repeat),repeat,0.0,1.0,0
Burning Curiosity (repeat),repeat,0.0,1.0,0
Dawnhand Dissident (repeat),repeat,0.0,1.0,0
Kinsbaile Aspirant (repeat),repeat,0.0,1.0,0
Boggart Prankster (repeat),repeat,0.0,1.0,0
Adept Watershaper (repeat),repeat,0.0,1.0,0
Squawkroaster (repeat),repeat,0.0,1.0,0
Creakwood Safewright (repeat),repeat,0.0,1.0,0
Wanderbrine Trapper (repeat),repeat,0.0,1.0,0
Tend the Sprigs (repeat),repeat,0.0,1.0,0
Noggle the Mind (repeat),repeat,0.0,1.0,0
Surly Farrier (repeat),repeat,0.0,1.0,0
Stalactite Dagger (repeat),repeat,0.0,1.0,0
Firdoch Core (repeat),repeat,0.0,1.0,0
Retched Wretch (repeat),repeat,0.0,1.0,0
Unforgiving Aim (repeat),repeat,0.0,1.0,0
"Ashling, Rekindled (repeat)",repeat,0.0,1.0,0
Heirloom Auntie (repeat),repeat,0.0,1.0,0
Iron-Shield Elf (repeat),repeat,0.0,1.0,0
Mudbutton Cursetosser (repeat),repeat,0.0,1.0,0
Gangly Stompling (repeat),repeat,0.0,1.0,0
Boneclub Berserker (repeat),repeat,0.0,1.0,0
Wanderwine Farewell (repeat),repeat,0.0,1.0,0
Thoughtweft Lieutenant (repeat),repeat,0.0,1.0,0
Foraging Wickermaw (repeat),repeat,0.0,1.0,0
Noggle Robber (repeat),repeat,0.0,1.0,0
Rime Chill (repeat),repeat,0.0,1.0,0
Reaping Willow (repeat),repeat,0.0,1.0,0
Boggart Cursecrafter (repeat),repeat,0.0,1.0,0
Feed the Flames (repeat),repeat,0.0,1.0,0
Eclipsed Merrow (repeat),repeat,0.0,1.0,0
Morcant's Loyalist (repeat),repeat,0.0,1.0,0
"Lluwen, Imperfect Naturalist (repeat)",repeat,0.0,1.0,0
Shinestriker (repeat),repeat,0.0,1.0,0
Aquitect's Defenses (repeat),repeat,0.0,1.0,0
